card_3,card_4,card_2,carvalue,debtinc,reason_2,commutetime,hourstv,age,creddebt,lncreddebt,ed,lncardmon,lnothdebt,card_5,othdebt,lncardten,lntollmon,lnequipmon,lntollten,pets_dogs,reside,spoused,card2_3,lnequipten,lnwiremon,gender_1,card2_2,pets_cats,cartype_0,lnwireten,townsize_3.0,cardtype_3,card2benefit_4,card2benefit_3,card2benefit_2,commutewalk_1,homeown_1,spousedcat_2,polparty_1,cardtenure_23,ownpc_1,commutecar_1,jobsat_4,wiremon,owngame_1,region_5,vote_1,region_3,carbought_0,union_1,carbought_1,cardbenefit_2,card2type_4,address_22,commutebus_1,active_1,jobsat_3,card2fee_1,jobsat_5,forward_1,Total_spent
1,0,0,14.3,11.1,0,22,13,20,1.200909,0.18307877,15,2.656756907,0.80651649,0,2.240091,4.094344562,3.36729583,3.384390263,5.081714876,0,3,-1,0,4.837075243,3.604226267,1,0,0,1,6.808150954,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,355.8057439
0,0,1,6.8,18.6,0,29,18,22,1.22202,0.200505227,17,2.772588722,0.449788167,0,1.56798,6.413458957,3.242726692,4.004602187,6.585937264,0,2,-1,0,7.588323677,3.821003607,0,0,0,0,7.428659938,0,0,0,1,0,0,1,0,1,0,1,1,0,45.65,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,420.325044
0,0,1,18.8,9.9,1,24,21,67,0.92862,-0.074055666,14,3.135494216,0.930737868,0,2.53638,7.251344983,3.242726692,3.599725167,6.585937264,1,3,13,0,6.747846135,3.604226267,1,0,2,0,6.808150954,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,530.7915597
0,0,1,8.7,5.7,0,38,26,23,0.03316008,-3.401690113,16,3.044522438,0.110825555,0,1.1172,6.529418838,3.242726692,3.599725167,6.585937264,0,5,18,1,6.747846135,3.604226267,0,0,0,0,6.808150954,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,350.4521389
0,1,0,10.6,1.7,0,32,27,26,0.214659,-1.538704556,16,2.847812143,-1.735335658,0,0.176341,5.886104031,2.803360381,3.599725167,5.960231845,0,4,13,0,6.747846135,2.947067102,0,0,0,0,6.018106478,0,0,0,0,1,1,0,1,0,0,1,0,0,19.05,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,292.1760787
0,0,1,-1,5.6,0,23,21,64,1.060584,0.0588197,17,3.341093458,1.595626168,0,4.931416,6.639875834,3.286534473,3.569532696,6.58837612,1,1,-1,1,6.878274974,3.604226267,0,0,1,0,6.808150954,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,414.8525964
0,0,0,25.6,1.9,0,32,19,52,0.501809,-0.68953571,14,2.909081993,-0.039582138,1,0.961191,6.429558117,3.242726692,3.599725167,6.585937264,2,1,-1,0,6.747846135,3.604226267,1,1,0,1,6.808150954,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,414.3758981
0,0,0,55.5,14.4,1,31,13,44,5.950368,1.783453066,16,2.674148649,2.081643116,0,8.017632,6.445719819,3.17805383,3.599725167,7.01247559,2,2,15,1,6.747846135,3.604226267,1,0,0,1,6.808150954,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,996.487283
1,0,0,8.6,2.6,0,25,25,66,0.102336,-2.279493762,12,2.740840024,-1.15943293,0,0.313664,6.721425701,3.242726692,3.599725167,6.585937264,0,1,-1,0,6.747846135,3.604226267,1,1,1,0,6.808150954,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,252.4625692
0,0,0,41,4.1,0,29,21,47,1.770216,0.571101573,11,2.909081993,0.515086931,1,1.673784,6.429558117,3.242726692,3.599725167,6.585937264,0,2,-1,0,6.747846135,3.604226267,0,1,1,1,6.808150954,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,508.7028084
0,1,0,28,8.6,0,17,26,59,1.358112,0.3060955,19,2.944438979,0.987266489,0,2.683888,6.835184586,3.242726692,3.440418095,6.585937264,0,1,-1,0,7.35777939,3.604226267,1,0,3,1,6.808150954,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,377.5592714
1,0,0,9.3,0.9,0,28,27,33,0.130131,-2.039213644,8,2.909081993,-2.168240934,0,0.11429904,6.429558117,3.242726692,3.599725167,6.585937264,0,5,9,0,6.747846135,3.604226267,1,1,0,0,6.808150954,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,232.1312741
0,1,0,38.5,2.8,0,25,21,44,1.250928,0.223885676,10,1.945910149,-0.231841267,0,0.793072,3.401197382,3.242726692,3.599725167,6.585937264,1,1,-1,0,6.747846135,3.604226267,0,0,0,0,6.808150954,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,486.5187515
0,1,0,-1,10.5,0,16,21,58,1.924965,0.654907786,18,3.198673118,1.545440045,0,4.690035,7.25488481,3.425889994,3.599725167,7.48251299,0,1,-1,1,6.747846135,3.604226267,0,0,0,0,6.808150954,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,404.0762013
1,0,0,9.3,9.8,0,32,24,72,1.276156,0.243852435,20,3.146305132,-0.94200862,0,0.389844,7.329749689,3.242726692,3.6519561,6.585937264,0,2,17,0,7.855835333,3.604226267,1,0,0,0,6.808150954,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,324.5357644
1,0,0,11.6,9.3,1,14,22,66,0.934743,-0.067483654,13,4.226833745,0.185862779,0,1.204257,8.39215092,3.295836866,3.599725167,7.559559496,0,2,12,0,6.747846135,3.766997233,1,0,3,1,8.058089937,0,1,0,0,0,1,0,1,1,0,1,1,0,43.25,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,410.3074654
0,1,0,75.8,9.5,0,19,17,57,1.803195,0.589560091,17,3.375879574,2.670127126,0,14.441805,7.181591945,3.358637767,3.764682418,7.275622357,1,3,16,1,7.596015538,3.693866996,1,0,0,0,7.517765386,0,0,1,0,0,0,1,0,1,0,1,1,0,40.2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,555.5333307
